,GDP deflator,Real Gross Domestic Product,,,Federal Funds rate,ISM:PMI
,2010=100,"Seasonally Adjusted Annual Rate,Billions of Chained 2009 Dollars",,,,Seasonally Adjusted
observation_date,USAGDPDEFQISMEI_20150401,GDPC1_20150327,,observation_date,FEDFUNDS_20150406,NAPM_20150401
1960-01-01,17.1856783525113,3123.2,,1960-01-01,3.99,61.5
1960-04-01,17.2323577762151,3111.3,,1960-02-01,3.97,52.3
1960-07-01,17.2937873415334,3119.1,,1960-03-01,3.84,47.8
1960-10-01,17.3488351449076,3081.3,,1960-04-01,3.92,45.3
1961-01-01,17.3842545154904,3102.3,,1960-05-01,3.85,42.6
1961-04-01,17.4269102959133,3159.9,,1960-06-01,3.32,44.4
1961-07-01,17.4731556090740,3212.6,,1960-07-01,3.23,43.7
1961-10-01,17.5300020527224,3277.7,,1960-08-01,2.98,47.6
1962-01-01,17.6221752498943,3336.8,,1960-09-01,2.60,45.4
1962-04-01,17.6513605058535,3372.7,,1960-10-01,2.47,46.0
1962-07-01,17.6880567222901,3404.8,,1960-11-01,2.44,44.3
1962-10-01,17.7209103285646,3418.0,,1960-12-01,1.98,44.3
1963-01-01,17.7999726876647,3456.1,,1961-01-01,1.45,43.9
1963-04-01,17.8279692498893,3501.1,,1961-02-01,2.54,43.6
1963-07-01,17.8516802163168,3569.5,,1961-03-01,2.02,49.1
1963-10-01,17.9943658587173,3595.0,,1961-04-01,1.49,57.6
1964-01-01,18.0521342266293,3672.7,,1961-05-01,1.98,58.9
1964-04-01,18.0977200491110,3716.4,,1961-06-01,1.73,58.1
1964-07-01,18.1698172022143,3766.9,,1961-07-01,1.17,58.2
1964-10-01,18.2522422038490,3780.2,,1961-08-01,2.00,60.7
1965-01-01,18.3431065449160,3873.5,,1961-09-01,1.88,63.0
1965-04-01,18.4281001918010,3926.4,,1961-10-01,2.26,62.2
1965-07-01,18.4999776368387,4006.2,,1961-11-01,2.61,59.0
1965-10-01,18.6258043253265,4100.6,,1961-12-01,2.33,64.2
1966-01-01,18.7457500417871,4201.9,,1962-01-01,2.15,60.9
1966-04-01,18.9011445910507,4219.1,,1962-02-01,2.37,61.1
1966-07-01,19.0834523650901,4249.2,,1962-03-01,2.85,60.6
1966-10-01,19.2464040048615,4285.6,,1962-04-01,2.78,55.1
1967-01-01,19.3250694373515,4324.9,,1962-05-01,2.36,52.2
1967-04-01,19.4245010746220,4328.7,,1962-06-01,2.68,50.8
1967-07-01,19.6088342926643,4366.1,,1962-07-01,2.71,51.0
1967-10-01,19.8250698577585,4401.2,,1962-08-01,2.93,49.5
1968-01-01,20.0441869559170,4490.6,,1962-09-01,2.90,50.0
1968-04-01,20.2566601620755,4566.4,,1962-10-01,2.90,51.2
1968-07-01,20.4554395528540,4599.3,,1962-11-01,2.94,53.8
1968-10-01,20.7453181849987,4619.8,,1962-12-01,2.93,57.2
1969-01-01,20.9605864277621,4691.6,,1963-01-01,2.92,55.2
1969-04-01,21.2291791394881,4706.7,,1963-02-01,3.00,55.1
1969-07-01,21.5271037459996,4736.1,,1963-03-01,2.98,54.7
1969-10-01,21.8034177355731,4715.5,,1963-04-01,2.90,57.6
1970-01-01,22.1109745850241,4707.1,,1963-05-01,3.00,59.8
1970-04-01,22.4198444505094,4715.4,,1963-06-01,2.99,58.2
1970-07-01,22.6049626290618,4757.2,,1963-07-01,3.02,55.5
1970-10-01,22.9026841165812,4708.3,,1963-08-01,3.49,55.1
1971-01-01,23.2519350907917,4834.3,,1963-09-01,3.48,56.9
1971-04-01,23.5588476810965,4861.9,,1963-10-01,3.50,57.7
1971-07-01,23.7970485871502,4900.0,,1963-11-01,3.48,57.5
1971-10-01,23.9951746498916,4914.3,,1963-12-01,3.38,54.0
1972-01-01,24.3664982483316,5002.4,,1964-01-01,3.48,57.1
1972-04-01,24.5153980156852,5118.3,,1964-02-01,3.48,57.9
1972-07-01,24.7451424826691,5165.4,,1964-03-01,3.43,60.2
1972-10-01,25.0595019736543,5251.2,,1964-04-01,3.47,59.2
1973-01-01,25.3514882395817,5380.5,,1964-05-01,3.50,58.7
1973-04-01,25.7372322302163,5441.5,,1964-06-01,3.50,60.1
1973-07-01,26.2284922829931,5411.9,,1964-07-01,3.42,62.9
1973-10-01,26.7510484451542,5462.4,,1964-08-01,3.50,63.3
1974-01-01,27.2597563123254,5417.0,,1964-09-01,3.45,63.3
1974-04-01,27.9064733681370,5431.3,,1964-10-01,3.36,60.7
1974-07-01,28.7157098122330,5378.7,,1964-11-01,3.52,61.8
1974-10-01,29.5612253679393,5357.2,,1964-12-01,3.85,62.4
1975-01-01,30.2330440998204,5292.4,,1965-01-01,3.90,61.0
1975-04-01,30.6834452088749,5333.2,,1965-02-01,3.98,62.1
1975-07-01,31.2302497468649,5421.4,,1965-03-01,4.04,64.9
1975-10-01,31.7521109398805,5494.4,,1965-04-01,4.09,62.0
1976-01-01,32.0811739967273,5618.5,,1965-05-01,4.10,61.3
1976-04-01,32.4057540536258,5661.0,,1965-06-01,4.04,58.7
1976-07-01,32.8251297158757,5689.8,,1965-07-01,4.09,58.1
1976-10-01,33.4061254701855,5732.5,,1965-08-01,4.12,58.1
1977-01-01,33.9435306421027,5799.2,,1965-09-01,4.01,61.0
1977-04-01,34.4213797035624,5913.0,,1965-10-01,4.08,58.6
1977-07-01,34.8442155058908,6017.6,,1965-11-01,4.10,59.4
1977-10-01,35.6007898394143,6018.2,,1965-12-01,4.32,62.8
1978-01-01,36.1313417074966,6039.2,,1966-01-01,4.42,65.8
1978-04-01,36.7931209590472,6274.0,,1966-02-01,4.60,65.5
1978-07-01,37.4086236250402,6335.3,,1966-03-01,4.65,65.7
1978-10-01,38.1951499861776,6420.3,,1966-04-01,4.67,64.2
1979-01-01,38.8783930297324,6433.0,,1966-05-01,4.90,57.7
1979-04-01,39.8175849252175,6440.8,,1966-06-01,5.17,59.0
1979-07-01,40.6679702172994,6487.1,,1966-07-01,5.30,60.3
1979-10-01,41.4788689370809,6503.9,,1966-08-01,5.53,58.5
1980-01-01,42.3416456971779,6524.9,,1966-09-01,5.40,58.7
1980-04-01,43.2704847277986,6392.6,,1966-10-01,5.53,57.2
1980-07-01,44.2664569595359,6382.9,,1966-11-01,5.76,53.7
1980-10-01,45.4896406423644,6501.2,,1966-12-01,5.40,52.4
1981-01-01,46.6266320678541,6635.7,,1967-01-01,4.94,49.1
1981-04-01,47.5016317353574,6587.3,,1967-02-01,5.00,47.6
1981-07-01,48.3549466708748,6662.9,,1967-03-01,4.53,45.3
1981-10-01,49.2607949916746,6585.1,,1967-04-01,4.05,42.8
1982-01-01,49.9504197194288,6475.0,,1967-05-01,3.94,44.5
